"Round","Question","Topic","Frequency","List of dates","List of sources","List of locations"
"Unconfirmed","Choose numbers to maximize the sum of each chosen value times its frequency; choosing x excludes x−1 and x+1.","Dynamic programming","1","2026-04-14 (publication)","https://leetcode.com/discuss/post/7910016/amazon-sde2-interview-and-compensation-b-tbkv/","India"
"Unconfirmed","Code a calculator in a low-level design interview; supported operations and parsing rules are not disclosed.","Low-level design / Parsing","1","2025-09-01 (publication)","https://www.jointaro.com/interviews/companies/amazon/experiences/software-engineer-ii-sde2-united-states-september-1-2025-no-offer-negative-4487fd77/","United States"
"Unconfirmed","Describe a conflict with a peer and how you handled it.","Behavioral / Disagreement","1","2026-04-14 (publication)","https://leetcode.com/discuss/post/7910016/amazon-sde2-interview-and-compensation-b-tbkv/","India"
"Unconfirmed","Describe a decision for which you analyzed trade-offs.","Behavioral / Judgment","1","2026-04-14 (publication)","https://leetcode.com/discuss/post/7910016/amazon-sde2-interview-and-compensation-b-tbkv/","India"
"Unconfirmed","Describe a technically complex project and what you learned from it.","Behavioral / Dive deep","1","2025-10-13 (publication)","https://leetcode.com/discuss/post/7272101/usa-amazon-sde-ii-process-rejected-by-ma-qjsp/","United States"
"Unconfirmed","Describe a time you made a customer happy.","Behavioral / Customer obsession","1","2026-04-14 (publication)","https://leetcode.com/discuss/post/7910016/amazon-sde2-interview-and-compensation-b-tbkv/","India"
"Unconfirmed","Describe a time you stepped outside your comfort zone.","Behavioral / Learn and be curious","1","2025-10-13 (publication)","https://leetcode.com/discuss/post/7272101/usa-amazon-sde-ii-process-rejected-by-ma-qjsp/","United States"
"Unconfirmed","Describe a time you unblocked yourself on a difficult problem.","Behavioral / Ownership","1","2025-10-13 (publication)","https://leetcode.com/discuss/post/7272101/usa-amazon-sde-ii-process-rejected-by-ma-qjsp/","United States"
"Unconfirmed","Describe digging deeply into a situation to find the root cause of a problem or bug.","Behavioral / Dive deep","1","2025-10-13 (publication)","https://leetcode.com/discuss/post/7272101/usa-amazon-sde-ii-process-rejected-by-ma-qjsp/","United States"
"Unconfirmed","Describe resolving an incident when you did not receive enough support.","Behavioral / Ownership","1","2026-04-14 (publication)","https://leetcode.com/discuss/post/7910016/amazon-sde2-interview-and-compensation-b-tbkv/","India"
"Unconfirmed","Describe work you took on outside your normal responsibilities.","Behavioral / Ownership","1","2025-10-13 (publication)","https://leetcode.com/discuss/post/7272101/usa-amazon-sde-ii-process-rejected-by-ma-qjsp/","United States"
"Unconfirmed","Design a backup system supporting full, differential and log backups.","Low-level design / Backups","1","2026-04-14 (publication)","https://leetcode.com/discuss/post/7910016/amazon-sde2-interview-and-compensation-b-tbkv/","India"
"Unconfirmed","Design a cache for a search system with filters, addressing cache keys, insertion, retrieval and eviction.","Low-level design / Caching","1","2025-03-20 (publication)","https://leetcode.com/discuss/post/6558499/amazon-interview-expereince-l5-seattle-b-vmpa/","United States"
"Unconfirmed","Design a package interface and package manager that installs packages in dependency order.","Low-level design / Graphs","1","2025-03-20 (publication)","https://leetcode.com/discuss/post/6558499/amazon-interview-expereince-l5-seattle-b-vmpa/","United States"
"Unconfirmed","Design a restaurant token-management system, including classes, database design, concurrency, APIs and Redis atomic operations.","Low-level design / Restaurants","1","2026-02-05 (publication)","https://medium.com/@hissandanish/amazon-sde-2-interview-experience-selected-b1f8b0a69de5","India"
"Unconfirmed","Design a sales platform that sells exactly K items without overselling, with consistency, availability and low latency.","System design / Commerce","1","2026-04-14 (publication)","https://leetcode.com/discuss/post/7910016/amazon-sde2-interview-and-compensation-b-tbkv/","India"
"Unconfirmed","Design a warehouse inventory system with real-time updates and accurate customer-facing inventory; support one million SKUs and 100,000 updates per minute.","System design / Inventory","1","2025-10-13 (publication)","https://leetcode.com/discuss/post/7272101/usa-amazon-sde-ii-process-rejected-by-ma-qjsp/","United States"
"Unconfirmed","Design ad-click aggregation for ten million clicks per minute, advertiser queries within two minutes and ad redirects below 200 milliseconds.","System design / Analytics","1","2025-02 (interview)","https://leetcode.com/discuss/post/6467921/amazon-sde-2-loop-usa-reject-by-anonymou-ryqx/","United States"
"Unconfirmed","Design an ETL system, addressing long-running loads, scale, retries, logging, writes, updates and monitoring.","System design / Data pipelines","1","2025-03-20 (publication)","https://leetcode.com/discuss/post/6558499/amazon-interview-expereince-l5-seattle-b-vmpa/","United States"
"Unconfirmed","Design Google Drive or Dropbox.","System design / File storage","1","2026-05-24 (publication)","https://leetcode.com/discuss/post/8290590/sde-2-amazon-interview-loop-on-site-bang-egra/","India"
"Unconfirmed","Design grocery-cart checkout that calculates basic tax plus extra taxes associated with ingredients in each food item.","Low-level design / Commerce","1","2025-02 (interview)","https://leetcode.com/discuss/post/6467921/amazon-sde-2-loop-usa-reject-by-anonymou-ryqx/","United States"
"Unconfirmed","Design item filtering over nested containers by weight and by AND/OR combinations of category and weight; each container holds either other containers or items.","Low-level design / Filtering","1","2025-10-13 (publication)","https://leetcode.com/discuss/post/7272101/usa-amazon-sde-ii-process-rejected-by-ma-qjsp/","United States"
